model,row_type,horizon,dataset,mae,rmse,n_results
AIR,event,d12,event_7.csv,0.559530315373,0.784845554532,1
AIR,event,d24,event_7.csv,0.505682137168,0.72113163316,1
AIR,event,d36,event_7.csv,0.490803101753,0.713559374193,1
AIR,event,d48,event_7.csv,0.504204889706,0.778352400132,1
GMAN,event,d12,event_7.csv,0.59912367848,0.788172210284,1
GMAN,event,d24,event_7.csv,0.69333183799,0.933577637861,1
GMAN,event,d36,event_7.csv,0.694615613699,0.991158256418,1
GMAN,event,d48,event_7.csv,0.681439342189,0.987297810926,1
PewLSTM,event,d12,event_7.csv,0.367394236733,0.631696674844,1
PewLSTM,event,d24,event_7.csv,0.322916782299,0.534433242133,1
PewLSTM,event,d36,event_7.csv,0.386367265129,0.585266737974,1
PewLSTM,event,d48,event_7.csv,0.475757694915,0.726783210158,1
Prophet,event,d12,event_7.csv,,,0
Prophet,event,d24,event_7.csv,0.351005461335,0.605328653727,1
Prophet,event,d36,event_7.csv,0.364983771758,0.633691803236,1
Prophet,event,d48,event_7.csv,0.373227558319,0.650454435941,1
UCDGPT,event,d12,event_7.csv,0.356078831698,0.606003936794,1
UCDGPT,event,d24,event_7.csv,0.321906949365,0.556755546712,1
UCDGPT,event,d36,event_7.csv,0.300610119386,0.515968723408,1
UCDGPT,event,d48,event_7.csv,0.344510434241,0.593339794179,1
UniST,event,d12,event_7.csv,0.335015996539,0.594257628334,1
UniST,event,d24,event_7.csv,0.330180824942,0.555177033671,1
UniST,event,d36,event_7.csv,0.299383244686,0.543554420837,1
UniST,event,d48,event_7.csv,0.338202781694,0.581357965212,1
