model,row_type,horizon,dataset,mae,rmse,n_results
AIR,event,d12,event_1.csv,0.595878488385,0.799239950108,1
AIR,event,d24,event_1.csv,0.554807843099,0.729818199454,1
AIR,event,d36,event_1.csv,0.559863264911,0.726870553044,1
AIR,event,d48,event_1.csv,0.580983788042,0.76660637056,1
GMAN,event,d12,event_1.csv,0.602169398065,0.792098571051,1
GMAN,event,d24,event_1.csv,0.786832163291,1.01591638645,1
GMAN,event,d36,event_1.csv,0.730702085109,1.03608522804,1
GMAN,event,d48,event_1.csv,0.916832408396,1.20449422707,1
PewLSTM,event,d12,event_1.csv,0.388173843377,0.637494252288,1
PewLSTM,event,d24,event_1.csv,0.349534505357,0.550962771334,1
PewLSTM,event,d36,event_1.csv,0.407610746057,0.598163162784,1
PewLSTM,event,d48,event_1.csv,0.510235645136,0.729339447563,1
Prophet,event,d12,event_1.csv,,,0
Prophet,event,d24,event_1.csv,0.364277398012,0.606844538361,1
Prophet,event,d36,event_1.csv,0.380707788176,0.635634506361,1
Prophet,event,d48,event_1.csv,0.392624795999,0.653092286274,1
UCDGPT,event,d12,event_1.csv,0.380664753669,0.617575589941,1
UCDGPT,event,d24,event_1.csv,0.335323425648,0.546038748207,1
UCDGPT,event,d36,event_1.csv,0.348379817105,0.541006616463,1
UCDGPT,event,d48,event_1.csv,0.348944025342,0.594785295736,1
UniST,event,d12,event_1.csv,0.373289504322,0.598862129336,1
UniST,event,d24,event_1.csv,0.356806249754,0.569375429096,1
UniST,event,d36,event_1.csv,0.341821526861,0.581706758072,1
UniST,event,d48,event_1.csv,0.403183702458,0.640706087581,1
