model_name,strategy_args,model_params,mae,rmse,file_name,fit_time,inference_time,actual_data,inference_data,log_info
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.405218996,0.659329114,event_0.csv,2942.729164,112.5295618,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.392624796,0.653092286,event_1.csv,3032.157403,77.11546755,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.390514879,0.653388893,event_2.csv,3216.681494,56.48070669,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.373525663,0.650456106,event_3.csv,2948.654522,102.4679875,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.372272617,0.650388948,event_4.csv,2747.384261,84.49347425,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.372809069,0.650414195,event_5.csv,2905.283006,75.15410614,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.372277956,0.650393986,event_6.csv,2959.307958,100.1859663,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.373227558,0.650454436,event_7.csv,2764.393857,91.8886292,,,
