model_name,strategy_args,model_params,mae,rmse,file_name,fit_time,inference_time,actual_data,inference_data,log_info
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.396040921,0.64161261,event_0.csv,2897.29231,79.68980193,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.380707788,0.635634506,event_1.csv,2921.092526,72.36346197,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.382008484,0.636651892,event_2.csv,3122.555113,50.6048696,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.366589775,0.633790757,event_3.csv,2834.005443,69.09155059,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.363847456,0.633634242,event_4.csv,2808.467046,71.0983901,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.364605209,0.633670198,event_5.csv,2920.952855,82.50902867,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.364495448,0.633671137,event_6.csv,3003.405685,46.99960494,,,
Prophet,"{""deterministic"": ""efficient"", ""horizon"": 864, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}",{},0.364983772,0.633691803,event_7.csv,2677.379795,55.54918098,,,
