model_name,strategy_args,model_params,mae,rmse,file_name,fit_time,inference_time,actual_data,inference_data,log_info
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.617761225,0.807268892,event_0.csv,506.5575066,0.538252354,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.580983788,0.766606371,event_1.csv,510.9830868,0.531079769,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.564687989,0.783339843,event_2.csv,507.856781,0.533767223,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.522872932,0.756504191,event_3.csv,511.1242437,0.528483152,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.503663566,0.775254278,event_4.csv,516.5687876,0.530500889,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.521152775,0.755145435,event_5.csv,517.3379273,0.527470589,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.510412523,0.756845288,event_6.csv,515.6741066,0.529827833,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 1152, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 1152, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 1152, ""rnn_units"": 64, ""seq_len"": 576}",0.50420489,0.7783524,event_7.csv,511.8809798,0.537458897,,,
