model_name,strategy_args,model_params,mae,rmse,file_name,fit_time,inference_time,actual_data,inference_data,log_info
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.560511457,0.743778235,event_0.csv,531.1054907,0.316730022,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.554807843,0.729818199,event_1.csv,524.7372415,0.316642761,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.576117981,0.741513399,event_2.csv,532.4061387,0.313482285,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.535631079,0.717562833,event_3.csv,536.0662539,0.325399637,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.517457476,0.71645037,event_4.csv,525.3519926,0.316890478,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.529272136,0.716898112,event_5.csv,526.8190775,0.312195539,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.513753111,0.717415923,event_6.csv,529.6710598,0.206228733,,,
AIR,"{""deterministic"": ""efficient"", ""horizon"": 576, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""batch_size"": 8, ""gcn_step"": 2, ""horizon"": 576, ""latent_dim"": 4, ""lr"": 0.001, ""norm"": true, ""num_epochs"": 5, ""patience"": 20, ""pred_len"": 576, ""rnn_units"": 64, ""seq_len"": 576}",0.505682137,0.721131633,event_7.csv,596.7999198,0.312970877,,,
