model_name,strategy_args,model_params,mae,rmse,file_name,fit_time,inference_time,actual_data,inference_data,log_info
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.823045086,1.086825024,event_0.csv,1099.287125,0.090516329,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.916832408,1.204494227,event_1.csv,1099.845877,0.091493845,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.761438157,0.973399223,event_2.csv,1097.662839,0.099462271,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.657790312,0.947428681,event_3.csv,1100.766229,0.117229939,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.671127084,0.884531846,event_4.csv,1100.388006,0.10383153,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.637233059,0.901727412,event_5.csv,1100.10208,0.094694376,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.808525767,1.146324975,event_6.csv,1100.369756,0.096992731,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 48, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 48, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 48, ""patience"": 10, ""pred_len"": 48, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.681439342,0.987297811,event_7.csv,1100.311378,0.100145817,,,
