model_name,strategy_args,model_params,mae,rmse,file_name,fit_time,inference_time,actual_data,inference_data,log_info
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.660321586,0.81474628,event_0.csv,589.1821086,0.13045764,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.602169398,0.792098571,event_1.csv,595.5160193,0.112591267,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.606323415,0.792139604,event_2.csv,613.7966342,0.113741398,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.599117644,0.788019129,event_3.csv,602.703938,0.110489607,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.597450709,0.789176723,event_4.csv,608.4909286,0.1087749,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.587374124,0.78746115,event_5.csv,617.7236159,0.110730886,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.586185712,0.783205856,event_6.csv,602.638777,0.110074759,,,
GMAN,"{""deterministic"": ""efficient"", ""horizon"": 12, ""save_true_pred"": false, ""seed"": 2026, ""strategy_name"": ""fixed_forecast"", ""target_channel"": null, ""train_ratio_in_tv"": 0.8}","{""K"": 1, ""L"": 1, ""batch_size"": 16, ""d"": 8, ""horizon"": 12, ""lr"": 0.0001, ""norm"": true, ""num_epochs"": 10, ""num_his"": 24, ""num_pred"": 12, ""patience"": 10, ""pred_len"": 12, ""seq_len"": 24, ""time_steps_per_day"": 1}",0.599123678,0.78817221,event_7.csv,599.0541887,0.116661072,,,
